Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Europe & Central Asia,11645.97473,11759.67881,12832.26396,15581.57769,18109.43336,19222.374,20752.63467,24159.81646,26415.008530000003,23138.56059,23604.68119,26109.259009999998,25068.32812,26071.85206,26301.08299,22551.60089,22371.68239,23597.42401,25171.42597,24696.33961
Ecuador,1445.279324,1894.6151690000002,2172.101877,2425.851842,2691.278081,3002.136867,3328.882972,3567.8364380000003,4249.019262,4231.615798,4633.5903579999995,5200.555789999999,5682.045007,6056.330827000001,6377.09153,6124.491643,6060.093329,6213.501276,6295.935399,6183.823825
"Egypt, Arab Rep.",1450.476242,1391.707846,1228.937975,1138.664673,1063.0036630000002,1187.51969,1398.190624,1667.8437210000002,2044.527855,2329.23948,2644.817039,2791.9549620000003,3232.648892,3264.378787,3378.831358,3598.9709479999997,3525.020165,2440.510173,2549.132252,3020.03135
Euro area,20165.78053,20432.38765,22109.18431,27134.7873,30948.718760000003,31936.04537,33767.09252,38666.73429,42177.82092,38423.213760000006,37567.130560000005,40613.87428,37598.04226,39102.913089999995,39857.29176,34381.554789999995,35142.31547,37095.12027,39965.84033,38925.66511
Eritrea,308.1337836,316.82382,293.9557909,334.5854429,407.76997650000004,388.5951226,415.0365994,439.8326905,450.6328403,595.1099872000001,501.3556333000001,642.5076591,,,,,,,,
Spain,14713.065709999999,15355.703169999999,17025.53198,21463.44266,24861.2828,26419.29686,28365.313489999997,32549.970980000002,35366.2596,32042.47408,30502.71971,31636.446310000003,28324.42934,29059.54795,29461.550330000002,25732.01836,26505.34322,28170.434569999998,30337.67913,29613.67114
Estonia,4075.970639,4509.17846,5344.8777979999995,7206.16648,8912.992195,10406.39688,12631.56777,16741.93912,18227.12008,14794.970790000001,14790.821219999998,17621.547440000002,17534.42154,19174.100730000002,20367.10266,17522.230190000002,18237.29584,20388.20955,23258.46758,23659.87229
Ethiopia,124.4608003,120.765782,111.92722350000001,119.49039099999999,136.46625559999998,162.4327265,194.6874305,244.2860372,326.4368267,380.5690479,341.5541149,354.47957579999996,467.0779272,499.5315721,566.9264665000001,640.5418913,717.1245928999999,768.5223076000001,771.5238138999999,857.501351
European Union,16908.72319,17183.62084,18680.55992,22920.89365,26262.06785,27330.99365,29068.604339999998,33549.52344,36912.06494,33359.78899,32931.638119999996,35716.27366,33158.791410000005,34564.11251,35243.20737,30473.740260000002,31162.696389999997,33029.98795,35659.75715,34843.29747
Fragile and conflict affected situations,810.5479232000001,782.3364631000001,732.6645179999999,761.7310151,924.0501367999999,1126.863822,1366.903598,1623.020291,2042.508216,1878.714288,2205.0986120000002,2186.971155,2457.000322,2523.042763,2710.8121929999998,2341.686509,2049.27473,2030.056919,2148.3791739999997,2190.311626
Finland,24285.466819999998,24946.18919,26869.6749,32855.13263,37702.84538,39040.28888,41188.0937,48414.845089999995,53554.03892,47293.99283,46459.97325,51081.99767,47710.790219999995,49878.04324,50260.29986,42784.69836,43784.28396,46316.745460000006,50021.29106,48685.853989999996
Fiji,2076.568784,2039.625697,2260.258398,2837.892246,3334.9316670000003,3659.5793289999997,3747.8607159999997,4072.1015700000003,4167.670285,3362.816555,3652.5274369999997,4371.45751,4591.555784,4840.693716,5605.570331,5390.745237,5651.318066,6101.030843,6266.9679590000005,6220.046421
France,22364.02939,22433.55571,24177.33517,29568.38595,33741.26515,34760.18777,36443.623439999996,41508.43399,45334.11444,41575.41875,40638.334,43790.73205,40874.70351,42592.934089999995,43011.2631,36638.18493,37037.374189999995,38812.16103,41631.09074,40493.92857
Faroe Islands,22653.31605,24419.74244,26732.79047,31497.96692,35467.17547,36205.370539999996,41522.543860000005,47885.69888,50866.0811,47447.870039999994,48530.23385,52083.88914,49459.71723,54853.6256,59440.03076,52404.65933,55822.91472000001,58622.840820000005,,
"Micronesia, Fed. Sts.",2171.950243,2248.429175,2265.880594,2295.889655,2253.092614,2358.280018,2406.182916,2458.611313,2541.4088829999996,2721.8703570000002,2885.4456760000003,3009.1986469999997,3131.3867149999996,2994.679304,2971.45729,2906.376785,3014.7003579999996,3289.701146,3568.2910159999997,
Gabon,4125.7166640000005,3989.556606,4121.958645000001,4922.376526,5729.296958,6888.627147,7214.914544,8447.078591,10212.81943,7690.052234999999,8849.3553,10809.64645,9813.477703,9683.57629,9663.429240000001,7384.71587,6984.451019,7230.396393000001,7956.627815999999,7667.3668609999995
United Kingdom,28149.870010000002,27744.506460000004,30056.586219999997,34419.14791,40290.313969999996,42030.28661,44599.69757,50566.8266,47286.99849,38713.13743,39435.8399,42038.57225,42462.77157,43444.532999999996,47425.60768,44974.83188,41064.13343,40361.41738,43043.22782,42300.26713
Georgia,749.9085236000001,801.9904138999999,853.5164537,1010.0079800000001,1305.047486,1642.7609380000001,1996.0571289999998,2635.353882,3324.735879,2822.66743,3233.295943,4021.7433060000003,4421.818242,4623.745725,4739.188338,4014.185944,4062.1698880000004,4357.000936,4722.787783,4769.186543
Ghana,258.4709595,269.01499839999997,304.5645608,367.8215216,417.5081649,491.9463779,911.9986756000001,1078.160509,1210.622257,1074.75538,1299.344949,1549.462902,1587.561237,2345.392906,1971.0333469999998,1743.8509960000001,1931.3894699999998,2025.9324239999999,2202.312164,2202.1155670000003
Gibraltar,,,,,,,,,,,,,,,,,,,,
Guinea,363.482479,336.63009189999997,343.5373419,393.73992930000003,410.7612161,322.4156816,453.40351849999996,659.9927230000001,715.0968204,674.0855502000001,672.4244026,651.1353634999999,717.0507379,769.0039433,787.2380702,769.2560137,732.9665707,856.5652697999999,983.3094922,1064.1312369999998
"Gambia, The",594.1516429999999,505.42014969999997,411.77248039999995,335.90621699999997,642.7549297999999,665.7219407,662.362461,780.3800991,924.5115163999999,833.2804027000001,860.6378737,762.7610541,742.7811378,700.514972,607.4284041,649.5108293999999,683.9976538999999,676.6559246,712.5123711,751.2946883999999
Guinea-Bissau,308.1441193,319.6774918,331.4938718,371.2198274,404.34913660000007,436.30201969999996,429.6222659,493.07049689999997,597.5763927,557.1716147999999,557.6321326000001,702.7428804,616.4116862000001,634.482446,622.4817167,603.1585129,661.0076548999999,736.7255662,777.9699218,697.7844029
Equatorial Guinea,1725.5547379999998,2313.151289,2744.2081559999997,3618.5760939999996,6152.131238,10963.289359999999,12857.33605,15908.39183,22942.58345,16667.93682,17288.8596,21641.87052,21711.15323,20390.71932,19394.02999,11283.46561,9250.331953,9667.912252,10144.19581,8131.923887999999
Greece,12042.95373,12538.178829999999,14110.313390000001,18477.57841,21955.10409,22551.73574,24801.15781,28827.326360000003,31997.282010000003,29710.9703,26917.758980000002,25916.293530000003,22242.681930000002,21874.8195,21760.9798,18167.773719999997,18116.459619999998,18930.21859,20324.30501,19582.53601
Grenada,5057.173965,5040.670468,5213.896269,5682.5961,5741.598633,6644.02496,6658.540847,7212.506822,7832.423352,7290.6971,7257.756622,7291.058897,7444.504768000001,7789.776381000001,8369.886755,9096.870646,9628.347487000001,10152.83281,10485.907159999999,10965.513159999999
Greenland,19004.10729,19275.47334,20652.87833,27459.76278,32023.452210000003,32489.78191,35458.12312,39780.95144,44367.05565,44918.56488,43988.33249,47186.98147,45936.76595,47535.58995,50484.92757,44536.40131,48181.874189999995,50321.36875,54470.95639,
Guatemala,1664.298958,1575.428557,1710.341468,1765.3516769999999,1889.6918239999998,2101.541818,2287.935715,2531.20608,2848.50316,2695.2212640000002,2898.942215,3281.667502,3408.7849159999996,3522.7736979999995,3779.642328,3994.6369130000003,4173.301665999999,4451.45099,4472.892363,4619.987097
Guam,,,21536.36688,22572.0753,24395.797619999998,26495.87758,26555.6452,27542.226169999998,29056.31429,30026.503210000003,30700.43401,30859.40435,32494.562360000004,33265.38119,34394.097480000004,35278.92594,35562.83791,35615.80463,35712.562139999995,
Guyana,954.4041525,955.6653805999999,974.9491933,997.2100346000001,1056.423886,1105.4964539999999,1954.1333079999997,2331.200342,2566.8870850000003,2756.819889,3033.247725,3425.436441,3788.146749,3934.865262,4031.600662,4166.128516,4542.622067,4586.054572,4979.002188,5468.356629
